               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.035004,            0.030697,            0.011942,             0.78952,             0.75156,             0.81267,             0.55436,            0.030258,            0.017712,           0.0059592,            0.008812,            0.008812,            0.008812
                  38,            0.034807,            0.030788,             0.01202,             0.78727,             0.75222,             0.81314,             0.55619,            0.030085,            0.017665,           0.0060297,            0.008779,            0.008779,            0.008779
                  39,            0.034524,            0.030372,            0.011758,             0.78575,             0.75811,             0.81161,               0.556,             0.03008,            0.017674,           0.0061302,            0.008746,            0.008746,            0.008746
                  40,            0.034515,            0.030623,            0.011611,             0.78702,             0.75298,             0.81257,             0.55888,            0.030036,            0.017635,           0.0061891,            0.008713,            0.008713,            0.008713
                  41,            0.034354,            0.030255,            0.011436,             0.77965,             0.75793,             0.81265,             0.55848,             0.03008,            0.017683,           0.0061311,             0.00868,             0.00868,             0.00868
                  42,            0.034636,            0.030346,            0.012126,             0.78536,              0.7598,             0.81468,             0.55867,            0.030068,             0.01768,           0.0059205,            0.008647,            0.008647,            0.008647
                  43,             0.03449,             0.03029,            0.011552,             0.78339,             0.76394,             0.81873,              0.5625,            0.029965,            0.017618,           0.0058742,            0.008614,            0.008614,            0.008614
                  44,            0.034528,            0.030458,            0.011721,             0.78978,             0.76146,             0.81941,             0.56497,            0.029917,              0.0176,           0.0058071,            0.008581,            0.008581,            0.008581
                  45,              0.0342,            0.030178,            0.011496,             0.78869,             0.76159,             0.81955,             0.56522,            0.029866,            0.017588,           0.0057748,            0.008548,            0.008548,            0.008548
                  46,            0.034042,            0.029964,            0.011203,             0.78642,             0.76459,             0.82028,             0.56664,            0.029825,            0.017542,           0.0058326,            0.008515,            0.008515,            0.008515
                  47,            0.034163,            0.030119,            0.011141,             0.77936,             0.77014,              0.8201,             0.56614,            0.029807,            0.017551,           0.0057542,            0.008482,            0.008482,            0.008482
                  48,            0.034014,            0.030187,            0.011187,             0.78517,              0.7703,             0.82013,             0.56709,            0.029764,            0.017528,           0.0056658,            0.008449,            0.008449,            0.008449
                  49,            0.033844,            0.030214,            0.011036,             0.78371,             0.77047,             0.82038,             0.56897,            0.029707,            0.017529,           0.0056046,            0.008416,            0.008416,            0.008416
                  50,            0.034212,            0.030094,            0.011231,              0.7869,             0.77073,             0.82071,             0.57036,            0.029678,            0.017539,           0.0055653,            0.008383,            0.008383,            0.008383
                  51,            0.033824,             0.02977,            0.011479,             0.78336,             0.77523,             0.82138,             0.57132,            0.029669,            0.017548,           0.0055109,             0.00835,             0.00835,             0.00835
                  52,            0.033934,            0.029841,            0.011062,             0.78303,             0.77552,             0.82276,             0.57169,            0.029642,            0.017538,           0.0055084,            0.008317,            0.008317,            0.008317
                  53,            0.033879,             0.02978,             0.01051,              0.7838,             0.77725,             0.82394,             0.57269,            0.029606,            0.017531,           0.0054307,            0.008284,            0.008284,            0.008284
                  54,            0.033869,            0.029795,            0.010952,             0.78487,             0.77434,             0.82438,             0.57404,            0.029573,            0.017531,           0.0053904,            0.008251,            0.008251,            0.008251
                  55,            0.033817,            0.029935,            0.011081,             0.78116,             0.78047,              0.8254,              0.5757,            0.029541,             0.01752,           0.0053384,            0.008218,            0.008218,            0.008218
                  56,            0.033747,            0.029835,            0.010708,             0.78398,             0.78018,             0.82615,             0.57612,            0.029528,            0.017512,           0.0053347,            0.008185,            0.008185,            0.008185
                  57,            0.033682,            0.029806,            0.010725,             0.78632,             0.77969,             0.82622,              0.5767,            0.029519,            0.017506,           0.0053387,            0.008152,            0.008152,            0.008152
                  58,            0.033574,            0.029824,            0.010701,             0.78857,             0.77877,             0.82689,             0.57699,            0.029505,            0.017499,           0.0053593,            0.008119,            0.008119,            0.008119
                  59,            0.033457,             0.02981,            0.010472,             0.78747,             0.78008,             0.82731,             0.57703,            0.029492,             0.01749,            0.005398,            0.008086,            0.008086,            0.008086
                  60,            0.033479,            0.029416,             0.01048,             0.78691,             0.77933,             0.82688,             0.57782,            0.029468,            0.017489,           0.0053979,            0.008053,            0.008053,            0.008053
                  61,             0.03315,            0.029422,            0.010397,             0.78296,             0.78133,             0.82759,              0.5785,            0.029437,            0.017485,           0.0053635,             0.00802,             0.00802,             0.00802
                  62,            0.033293,            0.029183,            0.010484,             0.78706,             0.78037,             0.82812,             0.57891,            0.029418,            0.017479,           0.0053439,            0.007987,            0.007987,            0.007987
                  63,            0.033308,            0.029618,             0.01039,             0.78658,             0.78102,             0.82872,             0.57979,            0.029399,            0.017474,            0.005335,            0.007954,            0.007954,            0.007954
                  64,            0.033362,             0.02962,            0.010497,              0.7887,             0.77952,             0.82916,             0.58083,            0.029382,            0.017473,           0.0053047,            0.007921,            0.007921,            0.007921
                  65,            0.033243,             0.02929,            0.010552,             0.78989,             0.77736,             0.82951,             0.58113,            0.029362,            0.017468,           0.0052824,            0.007888,            0.007888,            0.007888
                  66,            0.033313,            0.029266,             0.01005,             0.79294,             0.77604,             0.82946,             0.58157,            0.029337,            0.017465,           0.0052532,            0.007855,            0.007855,            0.007855
                  67,            0.033098,             0.02923,            0.010286,             0.79475,             0.77536,             0.82957,             0.58187,            0.029314,            0.017466,           0.0052281,            0.007822,            0.007822,            0.007822
                  68,            0.033136,            0.029274,            0.010131,             0.79538,             0.77425,             0.82943,             0.58226,            0.029296,            0.017464,           0.0052132,            0.007789,            0.007789,            0.007789
                  69,            0.033002,            0.029284,             0.01003,             0.79268,             0.77686,             0.82985,              0.5822,            0.029277,            0.017465,            0.005198,            0.007756,            0.007756,            0.007756
                  70,            0.033058,            0.029196,            0.010382,             0.79387,             0.77577,             0.82978,             0.58244,            0.029259,            0.017465,           0.0051747,            0.007723,            0.007723,            0.007723
