               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.097216,             0.16018,            0.025328,             0.40063,             0.31925,             0.30077,             0.15725,            0.094532,             0.22319,            0.030752,            0.008812,            0.008812,            0.008812
                  38,            0.096619,             0.15795,            0.025353,             0.41743,             0.31584,             0.30395,             0.16113,            0.094412,             0.22291,            0.030771,            0.008779,            0.008779,            0.008779
                  39,            0.096852,             0.15816,            0.025349,             0.41099,             0.31808,             0.30566,             0.16096,            0.094446,             0.22315,            0.030562,            0.008746,            0.008746,            0.008746
                  40,            0.096639,             0.15794,            0.025023,             0.41662,             0.32231,             0.30671,             0.16218,            0.094348,             0.22347,            0.030622,            0.008713,            0.008713,            0.008713
                  41,            0.096678,             0.15681,            0.024903,             0.41645,             0.31469,             0.30402,             0.15995,            0.094392,             0.22353,            0.030765,             0.00868,             0.00868,             0.00868
                  42,            0.096607,             0.15892,            0.025019,             0.41405,             0.32145,             0.30642,             0.16292,            0.094195,             0.22239,            0.030675,            0.008647,            0.008647,            0.008647
                  43,            0.096493,             0.15921,            0.024989,             0.42717,             0.32149,             0.31318,             0.16571,            0.094158,             0.22205,            0.030373,            0.008614,            0.008614,            0.008614
                  44,             0.09649,             0.15858,            0.024824,             0.41815,             0.31701,             0.30616,             0.16408,            0.094219,             0.22294,            0.030567,            0.008581,            0.008581,            0.008581
                  45,             0.09637,             0.15747,            0.024738,             0.42056,             0.32577,             0.31438,             0.16795,            0.094157,             0.22289,            0.030464,            0.008548,            0.008548,            0.008548
                  46,            0.096404,             0.15804,            0.024677,             0.41144,             0.32863,             0.31148,             0.16653,            0.094193,              0.2227,            0.030538,            0.008515,            0.008515,            0.008515
                  47,             0.09654,              0.1575,            0.024691,             0.42292,             0.32136,             0.31076,             0.16494,            0.094226,             0.22335,            0.030582,            0.008482,            0.008482,            0.008482
                  48,            0.096857,              0.1574,            0.024724,             0.44103,             0.31563,             0.31487,             0.16921,            0.093997,             0.22199,            0.030457,            0.008449,            0.008449,            0.008449
                  49,            0.096237,             0.15833,            0.024527,             0.42557,             0.32528,             0.31268,             0.16654,            0.094034,             0.22294,            0.030544,            0.008416,            0.008416,            0.008416
                  50,            0.096353,             0.15868,            0.024634,             0.43512,             0.31803,             0.31697,             0.16893,            0.094046,             0.22279,            0.030203,            0.008383,            0.008383,            0.008383
                  51,            0.096031,             0.15634,            0.024604,             0.42623,             0.32791,              0.3173,             0.16881,            0.093883,             0.22233,            0.030419,             0.00835,             0.00835,             0.00835
                  52,            0.096258,             0.15733,            0.024527,             0.43868,             0.32419,             0.31833,             0.16938,            0.093945,             0.22255,            0.030341,            0.008317,            0.008317,            0.008317
                  53,            0.096089,             0.15608,            0.024403,             0.42851,             0.32998,              0.3186,             0.17001,            0.093889,              0.2226,            0.030482,            0.008284,            0.008284,            0.008284
                  54,            0.096111,             0.15648,            0.024367,             0.43535,             0.32563,              0.3151,             0.16742,            0.093881,             0.22308,            0.030293,            0.008251,            0.008251,            0.008251
                  55,            0.096126,             0.15794,            0.024381,             0.42931,             0.32415,             0.31688,             0.16909,            0.093817,             0.22264,            0.030315,            0.008218,            0.008218,            0.008218
                  56,            0.096046,               0.157,            0.024224,             0.44306,             0.32587,             0.32062,             0.17142,            0.093718,             0.22199,             0.03013,            0.008185,            0.008185,            0.008185
                  57,            0.095837,             0.15543,            0.024311,             0.42672,             0.32917,             0.31889,             0.17066,             0.09376,             0.22231,            0.030262,            0.008152,            0.008152,            0.008152
                  58,            0.095811,              0.1568,            0.023967,             0.43608,             0.32935,             0.32227,             0.17189,            0.093629,             0.22189,            0.030286,            0.008119,            0.008119,            0.008119
                  59,            0.095674,              0.1559,            0.024084,             0.42402,             0.33056,              0.3226,             0.17367,            0.093723,             0.22263,            0.030251,            0.008086,            0.008086,            0.008086
                  60,            0.095917,             0.15616,            0.024274,             0.43319,             0.33302,             0.32336,             0.17255,            0.093654,             0.22323,            0.030259,            0.008053,            0.008053,            0.008053
                  61,            0.095526,             0.15557,            0.024157,             0.42503,             0.33254,             0.32054,             0.17275,             0.09362,             0.22259,            0.030308,             0.00802,             0.00802,             0.00802
                  62,            0.095841,             0.15779,            0.024218,             0.43401,             0.33259,             0.32127,             0.17211,            0.093661,             0.22277,            0.030249,            0.007987,            0.007987,            0.007987
                  63,            0.095696,             0.15476,             0.02402,             0.43557,             0.32875,             0.32018,              0.1736,            0.093656,             0.22292,            0.030273,            0.007954,            0.007954,            0.007954
                  64,            0.095864,             0.15604,            0.024031,             0.43944,             0.33177,             0.32237,             0.17355,            0.093562,             0.22229,             0.03029,            0.007921,            0.007921,            0.007921
                  65,            0.095498,             0.15616,            0.024125,             0.43395,             0.33205,             0.32228,             0.17292,            0.093529,             0.22215,            0.030187,            0.007888,            0.007888,            0.007888
                  66,            0.095274,              0.1542,            0.023797,             0.43429,             0.33276,             0.32453,              0.1759,            0.093474,             0.22196,            0.030169,            0.007855,            0.007855,            0.007855
                  67,            0.095899,             0.15582,            0.023887,             0.43645,             0.33407,             0.32471,             0.17465,            0.093481,             0.22191,            0.030063,            0.007822,            0.007822,            0.007822
                  68,            0.095716,             0.15625,             0.02391,             0.43171,             0.33532,             0.32457,             0.17485,            0.093463,             0.22233,            0.030142,            0.007789,            0.007789,            0.007789
                  69,            0.095931,             0.15636,            0.023917,             0.43149,             0.33314,             0.32384,              0.1744,            0.093473,             0.22238,            0.030141,            0.007756,            0.007756,            0.007756
                  70,            0.095425,             0.15511,             0.02383,             0.42911,             0.33815,             0.32277,             0.17315,            0.093467,             0.22275,            0.030099,            0.007723,            0.007723,            0.007723
