               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.050077,            0.070171,            0.025843,              0.6264,             0.49541,              0.5312,             0.33877,            0.044569,             0.05018,            0.017176,            0.008812,            0.008812,            0.008812
                  38,             0.05007,            0.070184,            0.025878,             0.63372,             0.49279,             0.53142,             0.33927,            0.044567,             0.05019,            0.017163,            0.008779,            0.008779,            0.008779
                  39,            0.050091,            0.070259,            0.025796,             0.63094,              0.4942,             0.53233,             0.33965,            0.044556,            0.050192,            0.017152,            0.008746,            0.008746,            0.008746
                  40,            0.050039,            0.070254,            0.025756,             0.63168,             0.49411,             0.53199,              0.3392,            0.044561,            0.050185,            0.017149,            0.008713,            0.008713,            0.008713
                  41,             0.05005,            0.070377,            0.025794,             0.62715,             0.49697,             0.53241,              0.3391,            0.044557,            0.050192,             0.01715,             0.00868,             0.00868,             0.00868
                  42,            0.050025,            0.070254,            0.025665,              0.6243,             0.49711,             0.53236,             0.33912,            0.044552,            0.050192,            0.017139,            0.008647,            0.008647,            0.008647
                  43,            0.050025,             0.07009,            0.025782,             0.62124,             0.49834,             0.53255,             0.33914,            0.044553,            0.050194,            0.017123,            0.008614,            0.008614,            0.008614
                  44,            0.049988,            0.070104,            0.025782,             0.62296,              0.4979,             0.53208,              0.3391,            0.044557,            0.050199,            0.017118,            0.008581,            0.008581,            0.008581
                  45,            0.049981,            0.070295,            0.025665,             0.61992,             0.49959,             0.53209,             0.33942,            0.044555,            0.050198,            0.017127,            0.008548,            0.008548,            0.008548
                  46,            0.049982,            0.070275,            0.025678,              0.6191,             0.49915,             0.53191,             0.33952,            0.044551,            0.050187,            0.017123,            0.008515,            0.008515,            0.008515
                  47,            0.049915,            0.070205,            0.025608,             0.61929,             0.49965,             0.53211,              0.3397,            0.044548,            0.050181,            0.017125,            0.008482,            0.008482,            0.008482
                  48,            0.049899,            0.069981,            0.025583,             0.62049,             0.50042,             0.53227,             0.33954,             0.04455,            0.050171,            0.017112,            0.008449,            0.008449,            0.008449
                  49,            0.049906,            0.070455,            0.025586,             0.61811,             0.50386,             0.53254,             0.33968,            0.044544,            0.050159,            0.017098,            0.008416,            0.008416,            0.008416
                  50,             0.04991,            0.070244,             0.02561,             0.61832,             0.50336,             0.53259,             0.33983,            0.044535,            0.050146,            0.017085,            0.008383,            0.008383,            0.008383
                  51,            0.049918,            0.070121,            0.025599,             0.62098,             0.50443,             0.53273,             0.33995,            0.044523,            0.050142,            0.017076,             0.00835,             0.00835,             0.00835
                  52,            0.049889,            0.070254,            0.025536,             0.62391,               0.501,             0.53362,             0.34066,             0.04451,            0.050142,            0.017078,            0.008317,            0.008317,            0.008317
                  53,            0.049833,            0.070043,            0.025535,             0.62408,             0.50061,             0.53406,             0.34084,            0.044502,            0.050133,            0.017072,            0.008284,            0.008284,            0.008284
                  54,            0.049942,            0.070398,            0.025476,             0.62369,             0.49855,             0.53392,             0.34119,            0.044489,             0.05011,            0.017063,            0.008251,            0.008251,            0.008251
                  55,            0.049843,            0.070293,            0.025517,             0.62441,             0.49993,             0.53429,             0.34109,            0.044482,            0.050103,            0.017049,            0.008218,            0.008218,            0.008218
                  56,            0.049717,            0.069916,            0.025439,             0.62487,             0.49804,             0.53454,             0.34167,            0.044468,             0.05009,            0.017049,            0.008185,            0.008185,            0.008185
                  57,            0.049856,            0.070276,            0.025439,              0.6242,             0.49928,             0.53426,             0.34185,            0.044464,            0.050074,            0.017036,            0.008152,            0.008152,            0.008152
                  58,            0.049823,            0.070003,             0.02542,             0.62671,             0.49776,             0.53345,              0.3411,            0.044468,             0.05008,            0.017053,            0.008119,            0.008119,            0.008119
                  59,            0.049807,            0.069776,            0.025365,             0.62527,             0.49752,             0.53383,             0.34161,            0.044462,            0.050082,            0.017049,            0.008086,            0.008086,            0.008086
                  60,            0.049758,            0.069813,            0.025311,              0.6285,             0.49611,             0.53403,             0.34196,             0.04446,            0.050074,            0.017039,            0.008053,            0.008053,            0.008053
                  61,             0.04975,            0.070009,            0.025244,             0.62713,             0.49849,             0.53402,             0.34229,            0.044457,            0.050073,            0.017029,             0.00802,             0.00802,             0.00802
                  62,            0.049662,            0.069862,            0.025362,             0.63281,             0.49809,             0.53475,             0.34224,            0.044447,            0.050063,            0.017016,            0.007987,            0.007987,            0.007987
                  63,            0.049706,             0.06999,            0.025301,             0.63206,             0.49587,             0.53475,             0.34231,            0.044432,            0.050065,            0.017006,            0.007954,            0.007954,            0.007954
                  64,            0.049701,            0.070077,            0.025213,              0.6337,             0.49613,             0.53493,             0.34206,            0.044422,            0.050067,               0.017,            0.007921,            0.007921,            0.007921
                  65,            0.049678,             0.06995,            0.025234,             0.63759,               0.494,             0.53509,             0.34228,            0.044414,            0.050063,            0.016998,            0.007888,            0.007888,            0.007888
                  66,            0.049701,             0.07011,             0.02522,             0.63599,             0.49555,             0.53472,             0.34275,            0.044411,            0.050051,            0.016994,            0.007855,            0.007855,            0.007855
                  67,            0.049637,              0.0698,            0.025135,             0.63357,             0.49585,               0.535,             0.34293,            0.044404,            0.050047,            0.016982,            0.007822,            0.007822,            0.007822
